!Ion
Fe+
!MOLECULAR WEIGHT
56.0
!NUMBER OF ENERGY LEVELS
111
!LEVEL + ENERGIES(cm^-1) + WEIGHT + Qnum
   82    21     7      3.100e-01  5.6961356e+05   30833.507
   83    21     6      1.000e-01  5.8632792e+05   30833.507
   84    22     8      2.600e-01  5.6192167e+05   31051.165
   85    22     7      1.100e-01  5.7414875e+05   31051.165
   86    22     6      2.200e-02  5.9086307e+05   31051.165
   87    23     9      2.600e-01  5.5744777e+05   31238.607
   88    23     8      9.100e-02  5.6582732e+05   31238.607
   89    23     7      2.100e-02  5.7805447e+05   31238.607
   90    24     1      4.600e-01  6.7864641e+05   32569.889
   91    24     2      6.000e-02  6.6711066e+05   32569.889
   92    24     6      4.000e-01  6.2250816e+05   32569.889
   93    24     7      5.000e-02  6.0579382e+05   32569.889
   94    24    10      2.500e-02  4.4015245e+05   32569.889
   95    24    14      3.900e-03  2.7469364e+05   32569.889
   96    25     2      2.900e-01  6.7230159e+05   32819.016
   97    25     1      5.500e-02  6.8383737e+05   32819.016
   98    25     3      6.600e-02  6.6382072e+05   32819.016
   99    25     7      2.200e-01  6.1098479e+05   32819.016
  100    25     6      1.300e-01  6.2769919e+05   32819.016
  101    25     8      7.100e-02  5.9875779e+05   32819.016
  102    25    11      1.700e-03  4.3225334e+05   32819.016
  103    25    10      1.700e-02  4.4534343e+05   32819.016
  104    25    15      2.500e-03  2.7392556e+05   32819.016
  105    25    14      1.600e-03  2.7988463e+05   32819.016
  106    26     3      1.500e-01  6.6768803e+05   33004.618
  107    26     2      5.400e-02  6.7616889e+05   33004.618
  108    26     4      4.600e-02  6.6184420e+05   33004.618
  109    26     8      1.400e-01  6.0262504e+05   33004.618
  110    26     7      1.700e-01  6.1485219e+05   33004.618
  111    26     9      6.500e-02  5.9424550e+05   33004.618
  112    26     6      1.300e-02  6.3156656e+05   33004.618
  113    26    12      1.700e-03  4.2747117e+05   33004.618
  114    26    11      2.200e-02  4.3612063e+05   33004.618
  115    26    10      4.400e-03  4.4921079e+05   33004.618
  116    26    16      1.300e-03  2.7084850e+05   33004.618
  117    26    15      2.500e-03  2.7779287e+05   33004.618
  118    27     4      5.800e-02  6.6460053e+05   33136.905
  119    27     3      2.900e-02  6.7044431e+05   33136.905
  120    27     5      1.600e-02  6.6116970e+05   33136.905
  121    27     9      1.800e-01  5.9700193e+05   33136.905
  122    27     8      1.700e-01  6.0538144e+05   33136.905
  123    27     7      2.200e-02  6.1760859e+05   33136.905
  124    27    13      1.600e-02  4.2524163e+05   33136.905
  125    27    12      2.600e-02  4.3022756e+05   33136.905
  126    27    11      6.000e-03  4.3887702e+05   33136.905
  127    27    16      3.100e-03  2.7360489e+05   33136.905
  128    27    15      1.300e-03  2.8054927e+05   33136.905
  129    28     7      2.100e-01  6.8948318e+05   36586.347
  130    28     6      9.000e-01  7.0619759e+05   36586.347
  131    29     8      3.100e-01  6.8854476e+05   37128.111
  132    29     7      6.500e-01  7.0077173e+05   37128.111
  133    29     6      1.400e-01  7.1748611e+05   37128.111
  134    30     9      2.800e-01  6.8545047e+05   37381.769
  135    30     8      5.300e-01  6.9383008e+05   37381.769
  136    30     7      2.500e-01  7.0605721e+05   37381.769
  137    31     9      7.300e-01  6.8766283e+05   37487.944
  138    31     8      3.100e-01  6.9604232e+05   37487.944
  139    31     7      2.400e-02  7.0826943e+05   37487.944
  140    32     1      2.200e-01  9.4384176e+05   45297.268
  141    32     2      6.900e-02  9.3230615e+05   45297.268
  142    32     3      2.900e-02  9.2382521e+05   45297.268
  143    32     6      7.300e-01  8.8770372e+05   45297.268
  144    32     7      2.400e-01  8.7098939e+05   45297.268
  145    32     8      3.500e-02  8.5876230e+05   45297.268
  146    32    11      1.700e-02  6.9225790e+05   45297.268
  147    32    15      7.300e-02  5.3393010e+05   45297.268
  148    32    14      1.300e-01  5.3988925e+05   45297.268
  149    32    17      5.500e-02  3.1935673e+05   45297.268
  150    33     2      4.600e-02  9.2945126e+05   45160.255
  151    33     3      1.200e-01  9.2097045e+05   45160.255
  152    33     4      5.600e-02  9.1512661e+05   45160.255
  153    33     6      2.000e-01  8.8484886e+05   45160.255
  154    33     7      3.700e-01  8.6813452e+05   45160.255
  155    33     8      3.400e-01  8.5590746e+05   45160.255
  156    33     9      6.300e-02  8.4752783e+05   45160.255
  157    33    10      2.400e-02  7.0249314e+05   45160.255
  158    33    12      1.300e-02  6.8075347e+05   45160.255
  159    33    16      6.600e-02  5.2413083e+05   45160.255
  160    33    14      1.300e-01  5.3703428e+05   45160.255
  161    33    17      3.000e-02  3.1650186e+05   45160.255
  162    33    25      4.800e-02  2.5714966e+05   45160.255
  163    34     4      1.600e-01  9.1442181e+05   45126.432
  164    34     5      6.100e-02  9.1099096e+05   45126.432
  165    34     7      3.600e-01  8.6742968e+05   45126.432
  166    34     8      2.100e-01  8.5520257e+05   45126.432
  167    34     9      3.800e-01  8.4682303e+05   45126.432
  168    34    11      1.400e-02  6.8869819e+05   45126.432
  169    34    16      3.900e-02  5.2342610e+05   45126.432
  170    34    15      7.400e-02  5.3037041e+05   45126.432
  171    34    14      7.200e-02  5.3632956e+05   45126.432
  172    34    18      4.300e-02  2.8637329e+05   45126.432
  173    34    17      2.100e-02  3.1579709e+05   45126.432
  174    35     4      4.100e-02  9.1454204e+05   45132.202
  175    35     5      2.200e-01  9.1111112e+05   45132.202
  176    35     8      5.200e-01  8.5532286e+05   45132.202
  177    35     9      4.000e-01  8.4694336e+05   45132.202
  178    35    15      1.600e-01  5.3049073e+05   45132.202
  179    35    14      2.000e-02  5.3644982e+05   45132.202
  180    35    19      5.700e-02  2.6857201e+05   45132.202
  181    35    18      3.700e-02  2.8649349e+05   45132.202
  182    36     1      2.368e+08  1.1529712e+06   55333.894
  183    36     2      5.222e+07  1.1414356e+06   55333.894
  184    37     1      6.834e+07  1.1589989e+06   55623.179
  185    37     2      1.283e+08  1.1474633e+06   55623.179
  186    37     3      9.010e+07  1.1389824e+06   55623.179
  187    38     2      1.248e+08  1.1534263e+06   55909.372
  188    38     3      4.881e+07  1.1449457e+06   55909.372
  189    38     4      1.122e+08  1.1391018e+06   55909.372
  190    39     3      1.730e+08  1.1495700e+06   56131.303
  191    39     4      3.124e+06  1.1437261e+06   56131.303
  192    39     5      1.097e+08  1.1402950e+06   56131.303
  193    40     4      2.232e+08  1.1466071e+06   56269.573
  194    40     5      6.323e+07  1.1431761e+06   56269.573
  195    41     1      3.353e+08  1.2581705e+06   60382.659
  196    42     1      6.235e+07  1.2625706e+06   60593.827
  197    42     2      2.683e+08  1.2510347e+06   60593.827
  198    43     1      6.323e+06  1.2662342e+06   60769.667
  199    43     2      1.131e+08  1.2546988e+06   60769.667
  200    43     3      2.102e+08  1.2462175e+06   60769.667
  201    44     2      1.909e+07  1.2576305e+06   60910.364
  202    44     3      1.520e+08  1.2491493e+06   60910.364
  203    44     4      1.553e+08  1.2433057e+06   60910.364
  204    45     3      3.957e+07  1.2511423e+06   61006.015
  205    45     4      1.853e+08  1.2452987e+06   61006.015
  206    45     5      9.996e+07  1.2418677e+06   61006.015
  207    46     4      7.238e+07  1.2464533e+06   61061.435
  208    46     5      2.522e+08  1.2430227e+06   61061.435
  209    47     1      1.917e+08  1.2788613e+06   61375.668
  210    47     2      5.348e+07  1.2673256e+06   61375.668
  211    47     3      8.716e+06  1.2588446e+06   61375.668
  212    48     2      1.330e+08  1.2847242e+06   62210.681
  213    48     3      9.315e+07  1.2762437e+06   62210.681
  214    48     4      3.007e+07  1.2703996e+06   62210.681
  215    49     3      7.307e+07  1.2877069e+06   62760.828
  216    49     4      1.081e+08  1.2818628e+06   62760.828
  217    49     5      7.661e+07  1.2784321e+06   62760.828
  218    50    14      1.043e+07  9.2853121e+05   63949.145
  219    50    17      1.812e+04  7.0799879e+05   63949.145
  220    50    10      2.141e+08  1.0939901e+06   63949.145
  221    50    11      3.432e+07  1.0808999e+06   63949.145
  222    50    32      3.980e+04  3.8864206e+05   63949.145
  223    50    33      6.762e+03  3.9149693e+05   63949.145
  224    50     6      1.299e+08  1.2763459e+06   63949.145
  225    50     7      1.423e+07  1.2596316e+06   63949.145
  226    50     8      7.032e+05  1.2474045e+06   63949.145
  227    50    24      1.604e+05  6.5383762e+05   63949.145
  228    50    25      1.786e+04  6.4864660e+05   63949.145
  229    51    14      3.233e+06  9.3866070e+05   64435.284
  230    51    15      7.402e+06  9.3270178e+05   64435.284
  231    51    17      5.672e+03  7.1812821e+05   64435.284
  232    51    18      1.167e+04  6.8870436e+05   64435.284
  233    51    10      4.877e+07  1.1041193e+06   64435.284
  234    51    11      1.420e+08  1.0910296e+06   64435.284
  235    51    12      5.643e+07  1.0823798e+06   64435.284
  236    51    32      9.528e+03  3.9877149e+05   64435.284
  237    51    33      2.937e+04  4.0162640e+05   64435.284
  238    51    34      1.202e+04  4.0233113e+05   64435.284
  239    51     7      1.170e+08  1.2697609e+06   64435.284
  240    51     8      2.418e+07  1.2575340e+06   64435.284
  241    51     9      1.299e+06  1.2491545e+06   64435.284
  242    51    25      1.501e+05  6.5877608e+05   64435.284
  243    51    26      3.139e+04  6.5490872e+05   64435.284
  244    52    14      5.524e+05  9.4643766e+05   64808.511
